dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
17.5mm,5,1,1.5mm,300.0kHz,7.8mm,5.8mm,1.3mm,1.0A,copper_lizt_c_1.5,26
8.0mm,3,5,1.0mm,400.0kHz,3.9mm,4.9mm,3.1mm,16.0A,copper_lizt_c_1,27
12.0mm,2,5,1.0mm,100.0kHz,3.6mm,3.6mm,1.9mm,36.0A,copper_lizt_c_1,28
13.5mm,1,3,3.0mm,300.0kHz,5.6mm,4.6mm,2.1mm,30.0A,copper_lizt_c_3,29
10.0mm,5,4,1.5mm,300.0kHz,3.5mm,4.0mm,1.3mm,8.0A,copper_lizt_c_1.5,30
14.0mm,1,7,1.0mm,100.0kHz,5.7mm,6.2mm,0.5mm,5.0A,copper_lizt_c_1,31
8.5mm,7,1,1.0mm,100.0kHz,3.1mm,2.6mm,0.7mm,12.0A,copper_lizt_c_1,32
13.0mm,1,1,3.0mm,100.0kHz,4.9mm,4.4mm,2.9mm,21.0A,copper_lizt_c_3,33
8.5mm,1,1,3.0mm,200.0kHz,4.6mm,3.1mm,3.9mm,11.0A,copper_lizt_c_3,34
18.5mm,2,1,1.5mm,100.0kHz,6.6mm,7.6mm,3.7mm,37.0A,copper_lizt_c_1.5,35
15.0mm,1,1,3.0mm,400.0kHz,6.5mm,7.0mm,0.5mm,37.0A,copper_lizt_c_3,36
14.5mm,1,8,1.0mm,400.0kHz,6.9mm,7.4mm,3.5mm,6.0A,copper_lizt_c_1,37
16.5mm,1,3,1.5mm,300.0kHz,5.0mm,7.5mm,2.1mm,36.0A,copper_lizt_c_1.5,38
10.5mm,5,4,1.5mm,100.0kHz,4.7mm,3.7mm,3.5mm,21.0A,copper_lizt_c_1.5,39
16.0mm,1,6,1.5mm,300.0kHz,7.3mm,7.8mm,3.3mm,22.0A,copper_lizt_c_1.5,40
13.5mm,1,3,1.5mm,300.0kHz,5.1mm,7.1mm,0.7mm,31.0A,copper_lizt_c_1.5,41
10.0mm,4,3,1.5mm,100.0kHz,4.0mm,5.5mm,3.7mm,43.0A,copper_lizt_c_1.5,42
8.0mm,4,1,2.0mm,400.0kHz,4.4mm,2.4mm,1.9mm,48.0A,copper_lizt_c_2,43
15.5mm,5,1,1.5mm,400.0kHz,4.7mm,5.7mm,2.1mm,2.0A,copper_lizt_c_1.5,44
10.0mm,2,3,1.0mm,400.0kHz,4.0mm,5.5mm,2.5mm,1.0A,copper_lizt_c_1,45
6.5mm,2,3,1.5mm,400.0kHz,2.0mm,4.0mm,3.7mm,38.0A,copper_lizt_c_1.5,46
16.0mm,2,1,4.0mm,300.0kHz,5.8mm,6.3mm,2.9mm,20.0A,copper_lizt_c_4,47
9.5mm,1,8,1.0mm,100.0kHz,5.9mm,5.9mm,3.5mm,11.0A,copper_lizt_c_1,48
14.0mm,4,6,1.0mm,400.0kHz,4.2mm,6.2mm,3.3mm,22.0A,copper_lizt_c_1,49
14.0mm,1,2,1.5mm,200.0kHz,4.7mm,7.2mm,0.9mm,32.0A,copper_lizt_c_1.5,50
19.5mm,4,6,1.5mm,200.0kHz,7.4mm,6.9mm,1.3mm,10.0A,copper_lizt_c_1.5,51
15.5mm,2,1,3.0mm,200.0kHz,5.7mm,7.2mm,1.5mm,25.0A,copper_lizt_c_3,52
15.5mm,2,3,3.0mm,400.0kHz,5.7mm,7.2mm,0.5mm,14.0A,copper_lizt_c_3,53
14.0mm,1,2,3.5mm,300.0kHz,8.2mm,5.2mm,3.9mm,8.0A,copper_lizt_c_3.5,54
17.0mm,1,2,3.0mm,300.0kHz,5.1mm,7.1mm,3.1mm,35.0A,copper_lizt_c_3,55
17.5mm,5,1,1.0mm,300.0kHz,5.3mm,7.8mm,2.1mm,42.0A,copper_lizt_c_1,56
13.5mm,1,2,2.0mm,400.0kHz,7.6mm,7.6mm,2.3mm,22.0A,copper_lizt_c_2,57
15.5mm,2,1,3.5mm,300.0kHz,7.2mm,7.7mm,0.9mm,2.0A,copper_lizt_c_3.5,58
13.5mm,3,1,1.5mm,200.0kHz,4.1mm,4.1mm,1.7mm,39.0A,copper_lizt_c_1.5,59
16.0mm,3,1,2.0mm,300.0kHz,5.3mm,7.8mm,3.3mm,10.0A,copper_lizt_c_2,60
7.5mm,1,2,4.0mm,200.0kHz,4.8mm,4.2mm,2.5mm,14.0A,copper_lizt_c_4,61
9.0mm,9,1,1.0mm,100.0kHz,5.2mm,5.2mm,2.1mm,42.0A,copper_lizt_c_1,62
17.0mm,1,2,2.0mm,400.0kHz,6.6mm,7.6mm,0.5mm,4.0A,copper_lizt_c_2,63
14.0mm,4,3,1.5mm,100.0kHz,5.2mm,4.7mm,3.5mm,45.0A,copper_lizt_c_1.5,64
9.5mm,3,9,1.0mm,400.0kHz,4.9mm,2.9mm,3.5mm,28.0A,copper_lizt_c_1,65
18.0mm,1,2,4.0mm,100.0kHz,7.9mm,5.9mm,0.9mm,7.0A,copper_lizt_c_4,66
14.5mm,2,3,1.0mm,200.0kHz,5.4mm,6.9mm,1.1mm,39.0A,copper_lizt_c_1,67
11.0mm,4,1,2.0mm,400.0kHz,5.3mm,6.3mm,3.1mm,39.0A,copper_lizt_c_2,68
18.0mm,1,2,2.0mm,100.0kHz,6.4mm,7.9mm,0.5mm,5.0A,copper_lizt_c_2,69
17.0mm,1,4,2.0mm,300.0kHz,7.6mm,6.1mm,3.7mm,17.0A,copper_lizt_c_2,70
10.0mm,1,3,3.0mm,400.0kHz,3.5mm,3.0mm,2.9mm,41.0A,copper_lizt_c_3,71
18.5mm,2,1,2.5mm,100.0kHz,5.6mm,5.6mm,2.3mm,14.0A,copper_lizt_c_2.5,72
15.0mm,2,3,2.0mm,300.0kHz,7.0mm,8.0mm,3.3mm,27.0A,copper_lizt_c_2,73
9.0mm,2,1,4.0mm,300.0kHz,3.2mm,2.7mm,2.9mm,28.0A,copper_lizt_c_4,74
12.0mm,3,2,1.5mm,400.0kHz,3.6mm,4.6mm,0.9mm,25.0A,copper_lizt_c_1.5,75
12.5mm,6,1,1.5mm,100.0kHz,5.2mm,5.7mm,1.7mm,39.0A,copper_lizt_c_1.5,76
15.0mm,9,2,1.0mm,400.0kHz,7.5mm,6.5mm,3.7mm,6.0A,copper_lizt_c_1,77
5.5mm,1,3,1.0mm,200.0kHz,1.7mm,3.2mm,3.5mm,12.0A,copper_lizt_c_1,78
9.5mm,3,4,1.0mm,400.0kHz,3.9mm,4.9mm,3.9mm,23.0A,copper_lizt_c_1,79
13.5mm,1,2,3.0mm,300.0kHz,8.1mm,7.6mm,1.9mm,46.0A,copper_lizt_c_3,80
17.0mm,3,2,1.0mm,400.0kHz,5.1mm,5.1mm,2.3mm,1.0A,copper_lizt_c_1,81
8.5mm,3,3,2.5mm,100.0kHz,4.6mm,3.1mm,1.9mm,6.0A,copper_lizt_c_2.5,82
12.0mm,7,4,1.0mm,100.0kHz,5.6mm,5.1mm,0.9mm,6.0A,copper_lizt_c_1,83
8.5mm,3,3,1.5mm,100.0kHz,4.6mm,4.6mm,1.3mm,8.0A,copper_lizt_c_1.5,84
10.5mm,1,1,4.5mm,100.0kHz,4.7mm,4.2mm,0.7mm,29.0A,copper_lizt_c_4.5,85
15.0mm,5,4,1.0mm,200.0kHz,6.5mm,6.0mm,2.9mm,17.0A,copper_lizt_c_1,86
14.5mm,2,3,1.0mm,300.0kHz,7.4mm,5.9mm,3.3mm,8.0A,copper_lizt_c_1,87
5.0mm,3,1,2.0mm,400.0kHz,2.0mm,3.0mm,0.7mm,42.0A,copper_lizt_c_2,88
7.5mm,2,6,1.0mm,200.0kHz,3.3mm,4.8mm,2.1mm,4.0A,copper_lizt_c_1,89
14.5mm,2,1,3.0mm,200.0kHz,6.9mm,7.9mm,1.1mm,2.0A,copper_lizt_c_3,90
17.0mm,3,6,1.5mm,100.0kHz,7.1mm,6.1mm,3.5mm,17.0A,copper_lizt_c_1.5,91
12.5mm,2,2,3.0mm,200.0kHz,6.2mm,7.2mm,1.7mm,20.0A,copper_lizt_c_3,92
16.5mm,2,4,1.5mm,300.0kHz,7.5mm,5.0mm,1.9mm,15.0A,copper_lizt_c_1.5,93
12.5mm,1,2,3.5mm,400.0kHz,7.2mm,7.2mm,0.3mm,28.0A,copper_lizt_c_3.5,94
10.5mm,4,3,2.0mm,100.0kHz,5.2mm,5.2mm,2.7mm,34.0A,copper_lizt_c_2,95
15.0mm,4,4,1.5mm,100.0kHz,5.0mm,8.0mm,1.3mm,15.0A,copper_lizt_c_1.5,96
6.5mm,2,1,3.5mm,100.0kHz,4.0mm,2.5mm,2.1mm,22.0A,copper_lizt_c_3.5,97
14.0mm,1,1,4.5mm,300.0kHz,5.2mm,5.7mm,0.9mm,21.0A,copper_lizt_c_4.5,98
19.5mm,5,2,1.0mm,300.0kHz,7.9mm,7.4mm,1.9mm,20.0A,copper_lizt_c_1,99
12.5mm,6,9,1.0mm,300.0kHz,4.2mm,6.2mm,2.5mm,5.0A,copper_lizt_c_1,100
13.5mm,2,1,1.5mm,100.0kHz,6.1mm,4.1mm,2.5mm,6.0A,copper_lizt_c_1.5,101
14.0mm,1,1,3.5mm,200.0kHz,6.2mm,6.2mm,2.9mm,19.0A,copper_lizt_c_3.5,102
8.5mm,4,1,1.5mm,200.0kHz,5.1mm,3.1mm,2.5mm,20.0A,copper_lizt_c_1.5,103
14.0mm,4,1,1.5mm,100.0kHz,5.7mm,6.2mm,1.7mm,5.0A,copper_lizt_c_1.5,104
7.5mm,1,6,1.0mm,100.0kHz,3.8mm,4.2mm,2.5mm,37.0A,copper_lizt_c_1,105
9.5mm,7,6,1.0mm,100.0kHz,4.4mm,4.4mm,3.1mm,14.0A,copper_lizt_c_1,106
18.5mm,2,4,1.0mm,100.0kHz,6.1mm,5.6mm,3.9mm,30.0A,copper_lizt_c_1,107
17.5mm,2,1,4.0mm,100.0kHz,6.3mm,5.3mm,1.3mm,47.0A,copper_lizt_c_4,108
15.5mm,1,1,4.5mm,400.0kHz,8.2mm,7.7mm,0.7mm,12.0A,copper_lizt_c_4.5,109
18.5mm,3,1,2.0mm,400.0kHz,5.6mm,6.1mm,3.1mm,22.0A,copper_lizt_c_2,110
14.5mm,5,2,1.0mm,400.0kHz,6.4mm,6.4mm,3.7mm,34.0A,copper_lizt_c_1,111
19.5mm,3,3,2.5mm,400.0kHz,6.4mm,7.9mm,2.5mm,34.0A,copper_lizt_c_2.5,112
6.5mm,4,1,1.5mm,200.0kHz,2.5mm,2.5mm,2.7mm,10.0A,copper_lizt_c_1.5,113
15.0mm,5,3,1.5mm,200.0kHz,5.5mm,7.5mm,3.5mm,12.0A,copper_lizt_c_1.5,114
11.0mm,5,4,1.0mm,200.0kHz,5.8mm,6.8mm,3.7mm,35.0A,copper_lizt_c_1,115
9.0mm,2,1,3.0mm,100.0kHz,4.7mm,2.7mm,2.7mm,31.0A,copper_lizt_c_3,116
13.5mm,4,1,1.5mm,400.0kHz,7.1mm,6.6mm,0.5mm,25.0A,copper_lizt_c_1.5,117
14.5mm,4,3,1.0mm,300.0kHz,6.9mm,7.9mm,3.7mm,14.0A,copper_lizt_c_1,118
11.0mm,2,2,1.0mm,400.0kHz,5.3mm,4.3mm,2.1mm,3.0A,copper_lizt_c_1,119
16.5mm,8,4,1.0mm,200.0kHz,6.0mm,6.5mm,2.5mm,14.0A,copper_lizt_c_1,120
10.0mm,3,5,1.5mm,100.0kHz,3.5mm,3.5mm,2.1mm,16.0A,copper_lizt_c_1.5,121
12.5mm,1,1,1.5mm,200.0kHz,7.2mm,3.8mm,1.5mm,16.0A,copper_lizt_c_1.5,122
6.0mm,4,2,1.0mm,400.0kHz,2.8mm,1.8mm,3.1mm,33.0A,copper_lizt_c_1,123
6.0mm,6,1,1.5mm,200.0kHz,1.8mm,2.3mm,3.5mm,23.0A,copper_lizt_c_1.5,124
16.5mm,2,4,2.0mm,300.0kHz,8.0mm,5.5mm,0.9mm,13.0A,copper_lizt_c_2,125
12.5mm,1,2,2.5mm,300.0kHz,6.7mm,4.8mm,3.9mm,44.0A,copper_lizt_c_2.5,126
14.5mm,2,1,2.0mm,200.0kHz,6.4mm,5.9mm,0.5mm,19.0A,copper_lizt_c_2,127
16.0mm,1,4,1.0mm,200.0kHz,5.8mm,4.8mm,3.3mm,23.0A,copper_lizt_c_1,128
18.5mm,1,3,1.0mm,200.0kHz,7.1mm,6.1mm,2.7mm,43.0A,copper_lizt_c_1,129
11.5mm,4,3,1.0mm,400.0kHz,5.5mm,4.0mm,3.5mm,2.0A,copper_lizt_c_1,130
7.5mm,4,5,1.0mm,400.0kHz,2.8mm,3.3mm,2.9mm,8.0A,copper_lizt_c_1,131
8.0mm,2,1,4.0mm,300.0kHz,2.9mm,4.4mm,0.5mm,4.0A,copper_lizt_c_4,132
13.0mm,3,1,2.5mm,200.0kHz,4.9mm,3.9mm,2.1mm,45.0A,copper_lizt_c_2.5,133
14.5mm,1,2,2.5mm,400.0kHz,7.4mm,6.9mm,0.7mm,32.0A,copper_lizt_c_2.5,134
14.0mm,3,3,1.5mm,100.0kHz,5.2mm,7.2mm,3.1mm,18.0A,copper_lizt_c_1.5,135
11.5mm,7,3,1.0mm,100.0kHz,6.0mm,6.0mm,3.7mm,18.0A,copper_lizt_c_1,136
18.5mm,2,2,2.5mm,300.0kHz,7.1mm,5.6mm,3.5mm,21.0A,copper_lizt_c_2.5,137
15.0mm,2,4,2.0mm,400.0kHz,6.5mm,6.5mm,1.5mm,5.0A,copper_lizt_c_2,138
14.0mm,1,3,1.5mm,300.0kHz,7.7mm,6.7mm,0.7mm,8.0A,copper_lizt_c_1.5,139
17.0mm,4,2,1.5mm,200.0kHz,6.6mm,6.6mm,3.3mm,46.0A,copper_lizt_c_1.5,140
15.0mm,4,5,1.0mm,400.0kHz,7.5mm,8.0mm,3.7mm,37.0A,copper_lizt_c_1,141
15.5mm,1,2,3.0mm,200.0kHz,7.2mm,8.2mm,3.1mm,19.0A,copper_lizt_c_3,142
12.5mm,4,5,1.0mm,300.0kHz,3.8mm,4.2mm,1.3mm,3.0A,copper_lizt_c_1,143
11.0mm,1,1,4.5mm,300.0kHz,3.8mm,5.8mm,0.5mm,30.0A,copper_lizt_c_4.5,144
17.0mm,4,2,1.0mm,400.0kHz,6.6mm,5.6mm,3.1mm,22.0A,copper_lizt_c_1,145
13.5mm,3,2,2.0mm,100.0kHz,8.1mm,4.6mm,2.1mm,40.0A,copper_lizt_c_2,146
12.0mm,5,5,1.5mm,300.0kHz,5.6mm,6.1mm,2.1mm,7.0A,copper_lizt_c_1.5,147
17.0mm,4,2,1.0mm,400.0kHz,8.1mm,8.1mm,0.7mm,7.0A,copper_lizt_c_1,148
8.0mm,1,9,1.0mm,100.0kHz,4.4mm,3.4mm,3.9mm,49.0A,copper_lizt_c_1,149
12.0mm,3,8,1.0mm,100.0kHz,3.6mm,4.1mm,3.9mm,12.0A,copper_lizt_c_1,150
19.0mm,3,6,1.0mm,100.0kHz,7.7mm,7.7mm,3.9mm,35.0A,copper_lizt_c_1,151
6.0mm,7,4,1.0mm,100.0kHz,1.8mm,3.8mm,3.3mm,13.0A,copper_lizt_c_1,152
15.0mm,3,3,2.5mm,400.0kHz,5.5mm,5.5mm,3.1mm,27.0A,copper_lizt_c_2.5,153
8.0mm,6,4,1.0mm,200.0kHz,4.9mm,4.4mm,3.5mm,9.0A,copper_lizt_c_1,154
17.5mm,4,5,1.0mm,400.0kHz,7.3mm,5.3mm,0.9mm,5.0A,copper_lizt_c_1,155
16.5mm,8,1,1.0mm,100.0kHz,5.0mm,8.0mm,3.1mm,37.0A,copper_lizt_c_1,156
15.5mm,1,1,1.0mm,200.0kHz,7.7mm,4.7mm,0.7mm,3.0A,copper_lizt_c_1,157
13.5mm,4,3,2.0mm,200.0kHz,6.6mm,7.6mm,3.1mm,41.0A,copper_lizt_c_2,158
14.5mm,4,7,1.0mm,400.0kHz,4.9mm,4.9mm,2.3mm,15.0A,copper_lizt_c_1,159
10.0mm,1,6,1.0mm,100.0kHz,3.0mm,5.5mm,3.1mm,32.0A,copper_lizt_c_1,160
19.5mm,2,5,1.0mm,100.0kHz,6.4mm,7.9mm,2.3mm,28.0A,copper_lizt_c_1,161
19.0mm,1,2,3.0mm,100.0kHz,5.7mm,5.7mm,3.1mm,35.0A,copper_lizt_c_3,162
18.5mm,2,3,1.0mm,200.0kHz,6.1mm,8.1mm,2.3mm,36.0A,copper_lizt_c_1,163
11.5mm,1,8,1.0mm,200.0kHz,6.0mm,6.0mm,2.9mm,49.0A,copper_lizt_c_1,164
11.5mm,1,4,1.0mm,300.0kHz,4.0mm,5.5mm,0.9mm,17.0A,copper_lizt_c_1,165
12.5mm,4,6,1.0mm,200.0kHz,5.7mm,3.8mm,3.7mm,16.0A,copper_lizt_c_1,166
11.5mm,8,4,1.0mm,200.0kHz,6.5mm,5.0mm,2.9mm,16.0A,copper_lizt_c_1,167
11.0mm,4,6,1.5mm,400.0kHz,5.8mm,4.8mm,3.5mm,5.0A,copper_lizt_c_1.5,168
10.0mm,6,3,1.5mm,200.0kHz,5.0mm,5.0mm,3.5mm,4.0A,copper_lizt_c_1.5,169
13.0mm,5,1,1.0mm,200.0kHz,4.4mm,7.4mm,2.9mm,12.0A,copper_lizt_c_1,170
14.0mm,2,9,1.0mm,300.0kHz,4.7mm,4.7mm,2.1mm,11.0A,copper_lizt_c_1,171
10.5mm,1,1,3.5mm,400.0kHz,3.7mm,5.7mm,3.7mm,44.0A,copper_lizt_c_3.5,172
15.0mm,1,1,1.5mm,300.0kHz,5.0mm,5.5mm,3.3mm,9.0A,copper_lizt_c_1.5,173
5.0mm,1,6,1.5mm,100.0kHz,1.5mm,2.0mm,1.9mm,38.0A,copper_lizt_c_1.5,174
12.0mm,2,1,4.5mm,200.0kHz,4.6mm,4.6mm,1.7mm,8.0A,copper_lizt_c_4.5,175
11.0mm,2,1,1.0mm,300.0kHz,4.8mm,4.3mm,1.5mm,15.0A,copper_lizt_c_1,176
14.0mm,1,3,1.0mm,200.0kHz,8.2mm,5.2mm,3.1mm,13.0A,copper_lizt_c_1,177
17.0mm,3,3,2.5mm,200.0kHz,6.6mm,6.6mm,2.3mm,24.0A,copper_lizt_c_2.5,178
17.5mm,1,1,2.5mm,400.0kHz,7.8mm,6.3mm,3.5mm,28.0A,copper_lizt_c_2.5,179
13.0mm,4,1,1.5mm,400.0kHz,3.9mm,7.4mm,1.9mm,9.0A,copper_lizt_c_1.5,180
10.0mm,1,3,2.0mm,300.0kHz,5.0mm,6.0mm,0.9mm,12.0A,copper_lizt_c_2,181
8.0mm,4,2,2.0mm,300.0kHz,3.4mm,4.4mm,2.5mm,9.0A,copper_lizt_c_2,182
6.0mm,1,7,1.0mm,300.0kHz,2.8mm,3.8mm,2.7mm,38.0A,copper_lizt_c_1,183
17.0mm,2,2,3.0mm,100.0kHz,5.1mm,5.1mm,1.5mm,5.0A,copper_lizt_c_3,184
8.0mm,1,2,4.0mm,300.0kHz,3.4mm,4.4mm,1.9mm,2.0A,copper_lizt_c_4,185
18.5mm,2,1,2.5mm,300.0kHz,8.1mm,6.1mm,2.1mm,17.0A,copper_lizt_c_2.5,186
15.5mm,2,1,1.5mm,400.0kHz,6.7mm,6.2mm,0.9mm,3.0A,copper_lizt_c_1.5,187
17.0mm,4,7,1.0mm,400.0kHz,8.1mm,7.6mm,2.9mm,13.0A,copper_lizt_c_1,188
17.0mm,3,7,1.0mm,400.0kHz,8.1mm,6.1mm,3.1mm,34.0A,copper_lizt_c_1,189
14.5mm,2,1,4.5mm,400.0kHz,6.9mm,5.4mm,3.9mm,44.0A,copper_lizt_c_4.5,190
7.5mm,3,2,2.0mm,200.0kHz,4.2mm,4.8mm,0.5mm,7.0A,copper_lizt_c_2,191
16.5mm,1,4,1.0mm,300.0kHz,8.0mm,8.0mm,2.9mm,28.0A,copper_lizt_c_1,192
17.0mm,3,3,2.0mm,400.0kHz,6.6mm,5.1mm,2.5mm,24.0A,copper_lizt_c_2,193
11.0mm,1,4,1.5mm,100.0kHz,5.3mm,4.8mm,0.9mm,35.0A,copper_lizt_c_1.5,194
18.0mm,4,5,1.5mm,300.0kHz,5.4mm,5.9mm,3.9mm,43.0A,copper_lizt_c_1.5,195
15.0mm,8,9,1.0mm,400.0kHz,5.0mm,7.5mm,3.1mm,5.0A,copper_lizt_c_1,196
15.5mm,2,9,1.0mm,400.0kHz,4.7mm,8.2mm,3.9mm,44.0A,copper_lizt_c_1,197
5.5mm,3,1,1.5mm,400.0kHz,2.7mm,3.2mm,3.1mm,47.0A,copper_lizt_c_1.5,198
13.0mm,3,6,1.0mm,100.0kHz,3.9mm,4.4mm,3.3mm,41.0A,copper_lizt_c_1,199
5.0mm,7,4,1.0mm,200.0kHz,3.0mm,3.0mm,3.9mm,17.0A,copper_lizt_c_1,200
15.0mm,1,3,1.5mm,100.0kHz,5.5mm,7.0mm,3.3mm,14.0A,copper_lizt_c_1.5,201
13.5mm,1,1,3.5mm,400.0kHz,5.6mm,7.1mm,1.9mm,4.0A,copper_lizt_c_3.5,202
7.5mm,1,2,2.0mm,400.0kHz,3.3mm,2.3mm,1.9mm,43.0A,copper_lizt_c_2,203
14.5mm,1,2,2.0mm,400.0kHz,4.4mm,7.9mm,2.5mm,13.0A,copper_lizt_c_2,204
7.5mm,5,4,1.5mm,300.0kHz,2.3mm,3.8mm,1.1mm,12.0A,copper_lizt_c_1.5,205
10.5mm,1,3,2.0mm,100.0kHz,3.2mm,5.2mm,2.3mm,4.0A,copper_lizt_c_2,206
13.0mm,3,2,1.5mm,200.0kHz,5.9mm,4.4mm,1.3mm,41.0A,copper_lizt_c_1.5,207
8.0mm,6,5,1.5mm,400.0kHz,3.4mm,2.4mm,3.5mm,1.0A,copper_lizt_c_1.5,208
17.0mm,4,1,1.0mm,400.0kHz,6.6mm,5.1mm,3.7mm,16.0A,copper_lizt_c_1,209
13.0mm,2,9,1.0mm,300.0kHz,6.9mm,7.9mm,3.1mm,16.0A,copper_lizt_c_1,210
6.0mm,1,3,2.0mm,400.0kHz,2.8mm,3.3mm,3.1mm,33.0A,copper_lizt_c_2,211
7.5mm,4,1,2.0mm,200.0kHz,4.2mm,3.3mm,3.9mm,44.0A,copper_lizt_c_2,212
12.5mm,4,4,1.5mm,400.0kHz,4.8mm,3.8mm,3.5mm,49.0A,copper_lizt_c_1.5,213
15.5mm,4,7,1.0mm,100.0kHz,5.2mm,5.7mm,3.3mm,26.0A,copper_lizt_c_1,214
14.5mm,5,3,1.0mm,100.0kHz,4.4mm,7.4mm,3.9mm,49.0A,copper_lizt_c_1,215
14.0mm,3,8,1.0mm,100.0kHz,6.2mm,4.2mm,3.7mm,19.0A,copper_lizt_c_1,216
10.0mm,3,2,1.0mm,200.0kHz,4.5mm,6.0mm,2.7mm,2.0A,copper_lizt_c_1,217
15.5mm,5,1,1.5mm,100.0kHz,7.2mm,6.7mm,3.5mm,13.0A,copper_lizt_c_1.5,218
14.5mm,1,1,4.0mm,300.0kHz,6.4mm,4.4mm,3.9mm,13.0A,copper_lizt_c_4,219
12.0mm,1,2,3.0mm,400.0kHz,7.1mm,5.1mm,0.5mm,18.0A,copper_lizt_c_3,220
13.5mm,3,2,2.5mm,300.0kHz,4.1mm,6.6mm,2.3mm,46.0A,copper_lizt_c_2.5,221
14.0mm,4,4,2.0mm,300.0kHz,6.7mm,5.7mm,3.1mm,29.0A,copper_lizt_c_2,222
6.5mm,2,3,3.0mm,300.0kHz,2.5mm,3.5mm,2.1mm,16.0A,copper_lizt_c_3,223
19.0mm,4,5,1.0mm,200.0kHz,8.2mm,7.2mm,3.3mm,33.0A,copper_lizt_c_1,224
10.5mm,2,5,1.0mm,200.0kHz,5.7mm,6.2mm,3.1mm,39.0A,copper_lizt_c_1,225
12.0mm,5,3,1.0mm,300.0kHz,3.6mm,4.1mm,3.3mm,22.0A,copper_lizt_c_1,226
5.5mm,1,2,4.5mm,100.0kHz,2.7mm,2.7mm,3.3mm,22.0A,copper_lizt_c_4.5,227
15.5mm,1,3,2.5mm,200.0kHz,5.7mm,8.2mm,2.5mm,21.0A,copper_lizt_c_2.5,228
9.0mm,6,2,1.5mm,400.0kHz,5.2mm,5.2mm,3.5mm,25.0A,copper_lizt_c_1.5,229
17.0mm,1,2,3.5mm,200.0kHz,5.1mm,5.6mm,2.7mm,3.0A,copper_lizt_c_3.5,230
12.0mm,3,6,1.5mm,200.0kHz,3.6mm,5.1mm,1.3mm,16.0A,copper_lizt_c_1.5,231
10.0mm,4,1,2.0mm,400.0kHz,3.0mm,5.0mm,0.1mm,1.0A,copper_lizt_c_2,232
15.5mm,9,2,1.0mm,200.0kHz,5.7mm,4.7mm,1.3mm,9.0A,copper_lizt_c_1,233
